source_group,year,file_type,source_page_url,direct_download_url,local_path,file_format,http_status,download_success,file_size_bytes,checksum_sha256,date_downloaded,notes,container_member,sheet_name,member_file_size_bytes,member_compressed_size_bytes,tabular_format,rows,columns,column_names,sample_rows_path,read_success
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(9) Metal Level by Financial,235882,204970,xlsx,125,16,State Name|State Abbr.|Metal Level|Platform|Total Number of Consumers Who Have Selected an Exchange Plan|Average Premium  |Average Premium after APTC  |Consumers with APTC and/or CSRs|Consumers with CSRs|Consumers with 73% Actuarial Value|Consumers with 87% Actuarial Value|Consumers with 94% Actuarial Value|CSRs Reserved for Members of Federally Recognized Tribes and Alaska Native Claims Settlement Act Shareholders|Consumers with APTC|Average APTC among consumers receiving APTC  |Average Premium after APTC among consumers receiving APTC  ,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__9_Metal_Level_by_Financial.csv,True
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(10) Metal Level by Demographic,235882,204970,xlsx,154,27,State Name|State Abbr.|Metal Level|Platform|Total Number of Consumers Who Have Selected an Exchange Plan|Age < 18|Age 18-25|Age 26-34|Age 35-44|Age 45-54|Age 55-64|Age ≥65|Male|Female|American Indian / Alaska Native|Asian|Native Hawaiian / Pacific Islander|African-American|White|Other Race|Multiracial|Unknown Race|Hispanic or Latino Ethnicity|Not Hispanic or Latino Ethnicity|Unknown Ethnicity|Rural|Non-Rural,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__10_Metal_Level_by_Demographic.csv,True
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(11) Metal Level by FPL,235882,204970,xlsx,154,12,State Name|State Abbr.|Metal Level|Platform|Total Number of Consumers Who Have Selected an Exchange Plan|Not Requesting Financial Assistance|≥100% to ≤150% of FPL |>150% to ≤200% of FPL |>200% to ≤250% of FPL |>250% to ≤300% of FPL |>300%- ≤400% of FPL |Other FPL,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__11_Metal_Level_by_FPL.csv,True
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(12) Status by Financial,235882,204970,xlsx,124,16,State Name|State Abbr.|Enrollment Status|Platform|Total Number of Consumers Who Have Selected an Exchange Plan|Average Premium  |Average Premium after APTC  |Consumers with APTC and/or CSRs|Consumers with CSRs|Consumers with 73% Actuarial Value|Consumers with 87% Actuarial Value|Consumers with 94% Actuarial Value|CSRs Reserved for Members of Federally Recognized Tribes and Alaska Native Claims Settlement Act Shareholders|Consumers with APTC|Average APTC among Consumers receiving APTC  |Average Premium after APTC among Consumers receiving APTC  ,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__12_Status_by_Financial.csv,True
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(13) Status by Demographic,235882,204970,xlsx,170,27,State Name|State Abbr.|Enrollment Status|Platform|Total Number of Consumers Who Have Selected an Exchange Plan|Age < 18|Age 18-25|Age 26-34|Age 35-44|Age 45-54|Age 55-64|Age ≥65|Male|Female|American Indian / Alaska Native|Asian|Native Hawaiian / Pacific Islander|African-American|White|Other Race|Multiracial|Unknown Race|Hispanic/Latino Ethnicity|Not Hispanic/Latino Ethnicity|Unknown Ethnicity|Rural|Non-Rural,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__13_Status_by_Demographic.csv,True
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(14) Status by Metal Level,235882,204970,xlsx,167,10,State Name|State Abbr.|Enrollment Status|Platform|Total Number of Consumers Who Have Selected an Exchange Plan|Catastrophic|Bronze|Silver|Gold|Platinum,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__14_Status_by_Metal_Level.csv,True
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(15) Status by FPL,235882,204970,xlsx,167,12,State Name|State Abbr.|Enrollment Status|Platform|Total Number of Consumers Who Have Selected an Exchange Plan|Not Requesting Financial Assistance|≥100% to ≤150% of FPL |>150% to ≤200% of FPL |>200% to ≤250% of FPL |>250% to ≤300% of FPL |>300%- ≤400% of FPL |Other FPL,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__15_Status_by_FPL.csv,True
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(16) Dental,235882,204970,xlsx,61,11,State Name|State Abbr.|Platform|Individuals Who Have Selected a Standalone Dental Exchange Plan |Age < 18|Age 18-25|Age 26-34|Age 35-44|Age 45-54|Age 55-64|Age ≥65,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__16_Dental.csv,True
oep_puf,2019,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepstatelevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepstatelevelpublicusefile.zip,zip,200,True,205186,638d31007b4b0165828227feb85cae162d9bffb3d5fb00026b8077d8a6fe365c,2026-05-26T16:38:03+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP State-Level Public Use File.xlsx,(17) BHP,235882,204970,xlsx,5,14,State Name|State Abbr.|Platform|Total Number of Basic Health Program Plan Enrollments|New Enrollees|Re-enrollees|Age < 18|Age 18-25|Age 26-34|Age 35-44|Age 45-54|Age ≥ 55|Male|Female,outputs\sample_rows\oep_puf_2019_State-Level_OEP_PUF_2019_OEP_State-Level_Public_Use_File.xlsx__17_BHP.csv,True
oep_puf,2019,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepcountylevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepcountylevelpublicusefile.zip,zip,200,True,1716581,d374ac5a7f33d8e21f66d132204214744329793b6a8984c8ef15139f0d129745,2026-05-26T16:38:07+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP County-Level Public Use File.xlsx,Methods,1754806,1716399,xlsx,7,1,Health Insurance Exchanges 2019 Open Enrollment Period: County-Level Public Use File,outputs\sample_rows\oep_puf_2019_County-Level_OEP_PUF_2019_OEP_County-Level_Public_Use_File.xlsx_Methods.csv,True
oep_puf,2019,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepcountylevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepcountylevelpublicusefile.zip,zip,200,True,1716581,d374ac5a7f33d8e21f66d132204214744329793b6a8984c8ef15139f0d129745,2026-05-26T16:38:07+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP County-Level Public Use File.xlsx,Contents,1754806,1716399,xlsx,17,2,County-Level Public Use File: Contents|Unnamed: 1,outputs\sample_rows\oep_puf_2019_County-Level_OEP_PUF_2019_OEP_County-Level_Public_Use_File.xlsx_Contents.csv,True
oep_puf,2019,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepcountylevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepcountylevelpublicusefile.zip,zip,200,True,1716581,d374ac5a7f33d8e21f66d132204214744329793b6a8984c8ef15139f0d129745,2026-05-26T16:38:07+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP County-Level Public Use File.xlsx,(1) Enrollment Status,1754806,1716399,xlsx,2723,8,County FIPS Code|State|County Name|Total Number of Consumers Who Have Selected an Exchange Plan|New Consumers|Total Re-enrollees|Active Re-enrollees|Automatic Re-enrollees,outputs\sample_rows\oep_puf_2019_County-Level_OEP_PUF_2019_OEP_County-Level_Public_Use_File.xlsx__1_Enrollment_Status.csv,True
oep_puf,2019,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepcountylevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepcountylevelpublicusefile.zip,zip,200,True,1716581,d374ac5a7f33d8e21f66d132204214744329793b6a8984c8ef15139f0d129745,2026-05-26T16:38:07+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP County-Level Public Use File.xlsx,(2) By Switching Status,1754806,1716399,xlsx,2722,6,County FIPS Code|State|County Name|Active Re-enrollees|Active Re-enrollees who Switched Plans|Active Re-enrollees who Remained in the Same Plan or a Crosswalked Plan,outputs\sample_rows\oep_puf_2019_County-Level_OEP_PUF_2019_OEP_County-Level_Public_Use_File.xlsx__2_By_Switching_Status.csv,True
oep_puf,2019,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepcountylevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepcountylevelpublicusefile.zip,zip,200,True,1716581,d374ac5a7f33d8e21f66d132204214744329793b6a8984c8ef15139f0d129745,2026-05-26T16:38:07+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP County-Level Public Use File.xlsx,(3) by Week,1754806,1716399,xlsx,2724,12,County FIPS Code|State|County Name|Total Number of Consumers Who Have Selected an Exchange Plan|Week 1                                                          (1 NOV to 3 NOV)|Week 2                                                                                       (4 NOV to 10 NOV)|Week 3                                                                                       (11 NOV to 17 NOV)|Week 4                                                                                       (18 NOV to 24 NOV)|Week 5                                                                                       (25 NOV to 1 DEC)|Week 6                                                                                       (2 DEC to 8 DEC)|Week 7                                                                                       (9 DEC to 15 DEC)|Final Snapshot,outputs\sample_rows\oep_puf_2019_County-Level_OEP_PUF_2019_OEP_County-Level_Public_Use_File.xlsx__3_by_Week.csv,True
oep_puf,2019,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepcountylevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepcountylevelpublicusefile.zip,zip,200,True,1716581,d374ac5a7f33d8e21f66d132204214744329793b6a8984c8ef15139f0d129745,2026-05-26T16:38:07+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP County-Level Public Use File.xlsx,(4) by Premium and FA,1754806,1716399,xlsx,2722,15,County FIPS Code|State|County Name|Total Number of Consumers Who Have Selected an Exchange Plan|Average Premium  |Average Premium after APTC  |Consumers with APTC and/or CSRs|Consumers with CSRs|Consumers with 73% Actuarial Value|Consumers with 87% Actuarial Value|Consumers with 94% Actuarial Value|CSRs Reserved for Members of Federally Recognized Tribes and Alaska Native Claims Settlement Act Shareholders|Consumers with APTC|Average APTC among consumers receiving APTC  |Average Premium after APTC among consumers receiving APTC  ,outputs\sample_rows\oep_puf_2019_County-Level_OEP_PUF_2019_OEP_County-Level_Public_Use_File.xlsx__4_by_Premium_and_FA.csv,True
oep_puf,2019,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-and-reports/marketplace-products/2019-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/marketplace-products/downloads/2019oepcountylevelpublicusefile.zip,data\raw\oep_puf\2019\2019oepcountylevelpublicusefile.zip,zip,200,True,1716581,d374ac5a7f33d8e21f66d132204214744329793b6a8984c8ef15139f0d129745,2026-05-26T16:38:07+00:00,Excel sample inspected with header row 0; full row count not computed for workbook sheets.,2019 OEP County-Level Public Use File.xlsx,(5) Demographics,1754806,1716399,xlsx,2722,24,County FIPS Code|State|County Name|Total Number of Consumers Who Have Selected an Exchange Plan|Age < 18|Age 18-25|Age 26-34|Age 35-44|Age 45-54|Age 55-64|Age ≥ 65|Male|Female|American Indian / Alaska Native|Asian|Native Hawaiian / Pacific Islander|African-American|White|Other Race|Multiracial|Unknown Race|Hispanic/Latino Ethnicity|Not Hispanic/Latino Ethnicity|Unknown Ethnicity,outputs\sample_rows\oep_puf_2019_County-Level_OEP_PUF_2019_OEP_County-Level_Public_Use_File.xlsx__5_Demographics.csv,True
