transition,state,county_fips,rank,previous_plan_id,current_plan_id,previous_issuer_id,previous_issuer_id_cw,current_issuer_id,current_issuer_id_plan_panel,current_issuer_final,previous_plan_issuer_prefix,current_plan_issuer_prefix,crosswalk_level,crosswalk_reason_or_type,mapping_quality_flag,prior_gross_premium,current_gross_premium,prior_ehb_premium,current_ehb_premium,prior_non_ehb_premium,current_non_ehb_premium,prior_net_premium_proxy_gross_benchmark,current_net_premium_proxy_gross_benchmark,prior_net_premium_proxy,current_net_premium_proxy,prior_gross_benchmark_zero_premium_flag,prior_zero_premium_flag,current_positive_premium_flag,zero_to_positive_turnover,same_issuer,across_issuer,same_issuer_crosswalk_only,across_issuer_crosswalk_only,same_issuer_plan_panel_only,across_issuer_plan_panel_only,same_issuer_plan_id_prefix,across_issuer_plan_id_prefix,missing_crosswalk_flag,missing_current_plan_flag,missing_premium_flag
2021_to_2022,KS,20025,lowest,18558KS0400013,18558KS0400013,18558,18558,18558,18558,18558,18558,18558,0,0,mapped,531.96,533.17,531.96,533.17,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False
2021_to_2022,KS,20027,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,480.02,477.75,480.02,477.75,0.0,0.0,0.0,23.74000000000001,0.0,23.74000000000001,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20029,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,480.02,477.75,480.02,477.75,0.0,0.0,0.0,23.74000000000001,0.0,23.74000000000001,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20031,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,496.01,490.76,496.01,490.76,0.0,0.0,0.0,24.379999999999995,0.0,24.379999999999995,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20033,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,504.03,498.45,504.03,498.45,0.0,0.0,0.0,24.769999999999982,0.0,24.769999999999982,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20035,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,457.99,477.66,457.99,477.66,0.0,0.0,0.0,27.920000000000016,0.0,27.920000000000016,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20037,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,441.03,454.22,441.03,454.22,0.0,0.0,0.0,22.57000000000005,0.0,22.57000000000005,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20039,lowest,18558KS0400013,18558KS0400013,18558,18558,18558,18558,18558,18558,18558,0,0,mapped,568.19,569.49,568.19,569.49,0.0,0.0,0.0,119.57,0.0,119.57,True,True,True,True,True,False,True,False,True,False,True,False,False,False,False
2021_to_2022,KS,20041,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,480.02,477.75,480.02,477.75,0.0,0.0,0.0,23.74000000000001,0.0,23.74000000000001,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20043,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,496.01,490.76,496.01,490.76,0.0,0.0,0.0,24.379999999999995,0.0,24.379999999999995,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20045,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,496.01,490.76,496.01,490.76,0.0,0.0,0.0,24.379999999999995,0.0,24.379999999999995,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20047,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,504.03,498.45,504.03,498.45,0.0,0.0,0.0,24.769999999999982,0.0,24.769999999999982,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20049,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,457.99,477.66,457.99,477.66,0.0,0.0,0.0,23.74000000000001,0.0,23.74000000000001,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20051,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,459.0,473.44,459.0,473.44,0.0,0.0,0.0,23.519999999999982,0.0,23.519999999999982,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20053,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,480.02,477.75,480.02,477.75,0.0,0.0,0.0,23.74000000000001,0.0,23.74000000000001,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20055,lowest,18558KS0400013,18558KS0400013,18558,18558,18558,18558,18558,18558,18558,0,0,mapped,531.96,533.17,531.96,533.17,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False
2021_to_2022,KS,20057,lowest,18558KS0400013,18558KS0400013,18558,18558,18558,18558,18558,18558,18558,0,0,mapped,531.96,533.17,531.96,533.17,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False
2021_to_2022,KS,20059,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,496.01,490.76,496.01,490.76,0.0,0.0,0.0,24.379999999999995,0.0,24.379999999999995,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20061,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,480.02,477.75,480.02,477.75,0.0,0.0,0.0,23.74000000000001,0.0,23.74000000000001,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
2021_to_2022,KS,20063,lowest,80065KS0010012,34368KS0110012,80065,80065,34368,34368,34368,80065,34368,1,6,mapped,459.0,473.44,459.0,473.44,0.0,0.0,0.0,23.519999999999982,0.0,23.519999999999982,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False
