default_mapping_rule,premium_variant,issuer_concept,year,state,county_years,any_turnover_county_years,across_issuer_turnover_county_years,within_issuer_turnover_county_years,enrollment,any_enrollment_weighted_exposure,across_enrollment_weighted_exposure
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,AL,67,14,0,14,219314.0,0.5295968337634624,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,AR,75,75,0,75,88226.0,1.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,AZ,15,9,0,9,199706.0,0.8702943326690235,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,DE,3,0,0,0,32113.0,0.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,FL,67,66,1,65,2723094.0,0.9989926899328484,0.0005732449926443964
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,GA,145,139,0,139,633138.0,0.9831616488032625,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,IA,99,93,0,93,72240.0,0.9324335548172757,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,IL,102,0,0,0,323427.0,0.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,IN,92,92,0,92,156926.0,1.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,KS,105,105,87,20,107784.0,1.0,0.9540284272248201
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,LA,64,28,0,28,99626.0,0.4983839559954229,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,MI,83,34,0,34,303550.0,0.7833042332399934,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,MO,115,89,0,89,250341.0,0.9347090568464614,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,MS,82,82,0,82,143014.0,1.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,MT,56,49,0,49,51134.0,0.7028591543786913,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,NC,85,85,0,85,571027.0,1.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,ND,53,37,0,37,29873.0,0.5690422789810197,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,NH,10,10,0,10,52497.0,1.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,OH,88,76,0,76,259999.0,0.95893830360886,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,OK,77,62,0,62,189444.0,0.8711756508519668,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,OR,36,0,0,0,146602.0,0.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,SC,46,46,0,46,300392.0,1.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,SD,66,66,0,66,41339.0,1.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,TN,95,87,0,87,273680.0,0.9320885705933938,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,TX,254,193,0,193,1840940.0,0.9414005888296196,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,UT,29,10,0,10,256932.0,0.8636565316893186,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,WI,72,54,0,54,212209.0,0.824880188870406,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,WV,55,0,0,0,23037.0,0.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2022,WY,23,23,0,23,34762.0,1.0,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2023,AL,67,61,0,61,258327.0,0.7919381249346759,0.0
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,2023,AR,75,0,0,0,100407.0,0.0,0.0
