state,year,county_years,counties,states,enrollment,treatment_constructibility_rate,missing_treatment_rate,not_constructible_count,any_share_all_county_years,any_share_constructible,any_enrollment_weighted_share_all,any_enrollment_weighted_share_constructible,across_issuer_share_all_county_years,across_issuer_share_constructible,across_issuer_enrollment_weighted_share_all,across_issuer_enrollment_weighted_share_constructible,within_issuer_share_all_county_years,within_issuer_share_constructible,within_issuer_enrollment_weighted_share_all,within_issuer_enrollment_weighted_share_constructible
AL,2022,67,67,1,219314.0,1.0,0.0,0,0.208955223880597,0.208955223880597,0.5295968337634624,0.5295968337634624,0.0,0.0,0.0,0.0,0.208955223880597,0.208955223880597,0.5295968337634624,0.5295968337634624
AL,2023,67,67,1,258327.0,1.0,0.0,0,0.9104477611940298,0.9104477611940298,0.7919381249346759,0.7919381249346759,0.0,0.0,0.0,0.0,0.9104477611940298,0.9104477611940298,0.7919381249346759,0.7919381249346759
AL,2024,67,67,1,386195.0,1.0,0.0,0,0.7910447761194029,0.7910447761194029,0.7915949196649361,0.7915949196649361,0.0,0.0,0.0,0.0,0.7910447761194029,0.7910447761194029,0.7915949196649361,0.7915949196649361
AR,2022,75,75,1,88226.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
AR,2023,75,75,1,100407.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2024,75,75,1,156607.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
AZ,2022,15,15,1,199706.0,1.0,0.0,0,0.6,0.6,0.8702943326690235,0.8702943326690235,0.0,0.0,0.0,0.0,0.6,0.6,0.8702943326690235,0.8702943326690235
AZ,2023,15,15,1,235229.0,1.0,0.0,0,0.5333333333333333,0.5333333333333333,0.8059380433534981,0.8059380433534981,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.8059380433534981,0.8059380433534981
AZ,2024,15,15,1,348055.0,1.0,0.0,0,0.8,0.8,0.9818649351395613,0.9818649351395613,0.0,0.0,0.0,0.0,0.8,0.8,0.9818649351395613,0.9818649351395613
DE,2022,3,3,1,32113.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,2023,3,3,1,34742.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DE,2024,3,3,1,44842.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
FL,2022,67,67,1,2723094.0,1.0,0.0,0,0.9850746268656716,0.9850746268656716,0.9989926899328484,0.9989926899328484,0.014925373134328358,0.014925373134328358,0.0005732449926443964,0.0005732449926443964,0.9701492537313433,0.9701492537313433,0.9984194449402041,0.9984194449402041
FL,2023,67,67,1,3225435.0,1.0,0.0,0,0.746268656716418,0.746268656716418,0.9457921179623834,0.9457921179623834,0.0,0.0,0.0,0.0,0.746268656716418,0.746268656716418,0.9457921179623834,0.9457921179623834
FL,2024,67,67,1,4211902.0,1.0,0.0,0,0.7761194029850746,0.7761194029850746,0.9270830612868011,0.9270830612868011,0.05970149253731343,0.05970149253731343,0.09520140782003,0.09520140782003,0.7761194029850746,0.7761194029850746,0.9270830612868011,0.9270830612868011
GA,2022,145,145,1,633138.0,1.0,0.0,0,0.9586206896551724,0.9586206896551724,0.9831616488032625,0.9831616488032625,0.0,0.0,0.0,0.0,0.9586206896551724,0.9586206896551724,0.9831616488032625,0.9831616488032625
GA,2023,145,145,1,790585.0,1.0,0.0,0,0.6620689655172414,0.6620689655172414,0.8157022964007665,0.8157022964007665,0.0,0.0,0.0,0.0,0.6620689655172414,0.6620689655172414,0.8157022964007665,0.8157022964007665
GA,2024,145,145,1,1160349.0,1.0,0.0,0,0.7586206896551724,0.7586206896551724,0.9049251561383688,0.9049251561383688,0.0,0.0,0.0,0.0,0.7586206896551724,0.7586206896551724,0.9049251561383688,0.9049251561383688
IA,2022,99,99,1,72240.0,1.0,0.0,0,0.9393939393939394,0.9393939393939394,0.9324335548172757,0.9324335548172757,0.0,0.0,0.0,0.0,0.9393939393939394,0.9393939393939394,0.9324335548172757,0.9324335548172757
IA,2023,99,99,1,82704.0,1.0,0.0,0,0.98989898989899,0.98989898989899,0.9733749274521184,0.9733749274521184,0.0,0.0,0.0,0.0,0.98989898989899,0.98989898989899,0.9733749274521184,0.9733749274521184
IA,2024,99,99,1,111423.0,1.0,0.0,0,0.6363636363636364,0.6363636363636364,0.7065148129201332,0.7065148129201332,0.0,0.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.7065148129201332,0.7065148129201332
IL,2022,102,102,1,323427.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2023,102,102,1,342995.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2024,102,102,1,398814.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2022,92,92,1,156926.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IN,2023,92,92,1,185354.0,1.0,0.0,0,0.7065217391304348,0.7065217391304348,0.7326898799054782,0.7326898799054782,0.0,0.0,0.0,0.0,0.7065217391304348,0.7065217391304348,0.7326898799054782,0.7326898799054782
IN,2024,92,92,1,295772.0,1.0,0.0,0,0.7282608695652174,0.7282608695652174,0.7755230380157689,0.7755230380157689,0.06521739130434782,0.06521739130434782,0.020505659764954085,0.020505659764954085,0.6630434782608695,0.6630434782608695,0.7550173782508148,0.7550173782508148
KS,2022,105,105,1,107784.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.8285714285714286,0.8285714285714286,0.9540284272248201,0.9540284272248201,0.19047619047619047,0.19047619047619047,0.3488551176426928,0.3488551176426928
KS,2023,105,105,1,124473.0,1.0,0.0,0,0.2857142857142857,0.2857142857142857,0.3673085729435299,0.3673085729435299,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.3673085729435299,0.3673085729435299
KS,2024,105,105,1,171376.0,1.0,0.0,0,0.6952380952380952,0.6952380952380952,0.6084749323125759,0.6084749323125759,0.0,0.0,0.0,0.0,0.6952380952380952,0.6952380952380952,0.6084749323125759,0.6084749323125759
LA,2022,64,64,1,99626.0,1.0,0.0,0,0.4375,0.4375,0.4983839559954229,0.4983839559954229,0.0,0.0,0.0,0.0,0.4375,0.4375,0.4983839559954229,0.4983839559954229
LA,2023,64,64,1,120804.0,1.0,0.0,0,0.453125,0.453125,0.6944554816065693,0.6944554816065693,0.0,0.0,0.0,0.0,0.453125,0.453125,0.6944554816065693,0.6944554816065693
LA,2024,64,64,1,212493.0,1.0,0.0,0,0.21875,0.21875,0.554550032236356,0.554550032236356,0.0,0.0,0.0,0.0,0.21875,0.21875,0.554550032236356,0.554550032236356
MI,2022,83,83,1,303550.0,1.0,0.0,0,0.40963855421686746,0.40963855421686746,0.7833042332399934,0.7833042332399934,0.0,0.0,0.0,0.0,0.40963855421686746,0.40963855421686746,0.7833042332399934,0.7833042332399934
MI,2023,83,83,1,322273.0,1.0,0.0,0,0.3253012048192771,0.3253012048192771,0.5318906641263773,0.5318906641263773,0.0,0.0,0.0,0.0,0.3253012048192771,0.3253012048192771,0.5318906641263773,0.5318906641263773
MI,2024,83,83,1,418100.0,1.0,0.0,0,0.3855421686746988,0.3855421686746988,0.5305285816790242,0.5305285816790242,0.0,0.0,0.0,0.0,0.3855421686746988,0.3855421686746988,0.5305285816790242,0.5305285816790242
MO,2022,115,115,1,250341.0,1.0,0.0,0,0.7739130434782608,0.7739130434782608,0.9347090568464614,0.9347090568464614,0.0,0.0,0.0,0.0,0.7739130434782608,0.7739130434782608,0.9347090568464614,0.9347090568464614
MO,2023,115,115,1,257629.0,1.0,0.0,0,0.6434782608695652,0.6434782608695652,0.596955311707921,0.596955311707921,0.0,0.0,0.0,0.0,0.6434782608695652,0.6434782608695652,0.596955311707921,0.596955311707921
MO,2024,115,115,1,359369.0,1.0,0.0,0,0.34782608695652173,0.34782608695652173,0.39455267427073565,0.39455267427073565,0.0,0.0,0.0,0.0,0.34782608695652173,0.34782608695652173,0.39455267427073565,0.39455267427073565
MS,2022,82,82,1,143014.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
MS,2023,82,82,1,183478.0,1.0,0.0,0,0.32926829268292684,0.32926829268292684,0.543580156749038,0.543580156749038,0.0,0.0,0.0,0.0,0.32926829268292684,0.32926829268292684,0.543580156749038,0.543580156749038
MS,2024,82,82,1,286410.0,1.0,0.0,0,0.7804878048780488,0.7804878048780488,0.6783352536573444,0.6783352536573444,0.0,0.0,0.0,0.0,0.7804878048780488,0.7804878048780488,0.6783352536573444,0.6783352536573444
MT,2022,56,56,1,51134.0,1.0,0.0,0,0.875,0.875,0.7028591543786913,0.7028591543786913,0.0,0.0,0.0,0.0,0.875,0.875,0.7028591543786913,0.7028591543786913
