top_two_selection_variant,exposure_universe,premium_variant,default_mapping_rule,year,state,selected_top_two_plan_pairs,zero_prior_plan_pairs,zero_to_positive_plan_pairs,across_zero_to_positive_plan_pairs,same_issuer_zero_to_positive_plan_pairs,candidate_prior_plans_with_across_turnover_not_in_current_top_two,county_years_where_alternative_top_two_adds_across,county_years_where_current_top_two_has_same_issuer_but_alternative_has_across,county_years_where_current_top_two_has_no_turnover_but_alternative_has_turnover,county_years_where_tie_handling_changes_across,county_years_where_standard_component_collapse_changes_across,county_years_where_rating_area_handling_changes_across,difference_vs_current_repo_rule,difference_vs_drake_anchor_if_available
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,AZ,30,30,18,0,18,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,DE,6,6,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,FL,134,133,122,2,120,0,0,,,0,0,0,0,-210
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,GA,318,300,299,0,299,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,HI,10,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,IA,198,198,107,0,107,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,IL,204,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,IN,184,184,154,0,154,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,KS,210,210,196,172,24,0,0,,,0,0,0,0,-124
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,KY,240,110,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,LA,128,124,41,0,41,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,ME,32,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,MI,166,161,61,0,61,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,MO,230,230,162,0,162,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,MS,164,164,164,0,164,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,MT,112,112,49,0,49,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,NC,200,195,173,0,173,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,ND,106,106,37,0,37,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,NE,186,186,186,0,186,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,NH,20,20,20,0,20,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,NM,66,38,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,OH,176,156,133,0,133,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,OK,154,154,90,0,90,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,OR,72,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,SC,92,92,81,0,81,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,SD,132,132,82,0,82,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,TN,190,190,158,0,158,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,TX,508,506,319,0,319,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,UT,58,28,12,0,12,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,VA,266,266,99,0,99,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,WI,144,132,80,0,80,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,WV,110,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,WY,46,46,45,0,45,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,AK,60,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,AL,134,134,82,0,82,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,AR,150,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,AZ,30,30,11,0,11,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,DE,6,6,6,0,6,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,FL,134,120,83,0,83,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,GA,318,295,196,0,196,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,HI,10,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,IA,198,198,108,0,108,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,IL,204,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,IN,184,122,105,0,105,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,KS,210,210,46,0,46,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,LA,128,128,34,0,34,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,MI,166,165,48,0,48,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,MO,230,230,142,0,142,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,MS,164,164,54,0,54,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,MT,112,112,56,0,56,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2023,NC,200,141,76,3,73,0,0,,,0,0,0,0,-208
