year,state,rank,premium_variant,default_mapping_rule,turnover_failure_reason,plan_pair_rows,turnover_rows,non_turnover_rows
2022,AL,lowest,ehb_named_states_only,no_same_issuer_priority,turnover,14,14,0
2022,AL,lowest,ehb_named_states_only,reason8_priority,both_zero,120,0,120
2022,AL,lowest,ehb_named_states_only,reason8_priority,turnover,14,14,0
2022,AL,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,120,0,120
2022,AL,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,turnover,14,14,0
2022,AL,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,120,0,120
2022,AL,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,turnover,14,14,0
2022,AL,lowest,ehb_named_states_only,source_order_first_valid,both_zero,120,0,120
2022,AL,lowest,ehb_named_states_only,source_order_first_valid,turnover,14,14,0
2022,AL,lowest,ehb_named_states_only,whole_county_00000_only,both_zero,120,0,120
2022,AL,lowest,ehb_named_states_only,whole_county_00000_only,turnover,14,14,0
2022,AL,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,county_any_zip_turnover,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,county_any_zip_turnover,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,current_repo_rule,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,current_repo_rule,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,exclude_level4_5,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,exclude_level4_5,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,lowest_crosswalk_level,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,lowest_crosswalk_level,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,no_same_issuer_priority,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,no_same_issuer_priority,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,reason8_priority,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,reason8_priority,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,source_order_first_valid,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,source_order_first_valid,turnover,28,28,0
2022,AL,second_lowest,current_ehb_all_states,whole_county_00000_only,both_zero,106,0,106
2022,AL,second_lowest,current_ehb_all_states,whole_county_00000_only,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,county_any_zip_turnover,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,county_any_zip_turnover,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,current_repo_rule,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,current_repo_rule,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,exclude_level4_5,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,exclude_level4_5,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,lowest_crosswalk_level,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,lowest_crosswalk_level,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,no_same_issuer_priority,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,no_same_issuer_priority,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,reason8_priority,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,reason8_priority,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,source_order_first_valid,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,source_order_first_valid,turnover,28,28,0
2022,AL,second_lowest,ehb_named_states_only,whole_county_00000_only,both_zero,106,0,106
2022,AL,second_lowest,ehb_named_states_only,whole_county_00000_only,turnover,28,28,0
2022,AR,lowest,current_ehb_all_states,county_any_zip_across_turnover,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,county_any_zip_turnover,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,current_repo_rule,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,exclude_level4_5,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,include_level4_5_as_missing_current,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,lowest_crosswalk_level,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,no_same_issuer_priority,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,reason8_priority,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,same_plan_if_available_else_source_order,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,source_order_first_valid,turnover,150,150,0
2022,AR,lowest,current_ehb_all_states,whole_county_00000_only,turnover,150,150,0
2022,AR,lowest,ehb_named_states_only,county_any_zip_across_turnover,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,county_any_zip_turnover,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,current_repo_rule,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,exclude_level4_5,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,include_level4_5_as_missing_current,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,lowest_crosswalk_level,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,no_same_issuer_priority,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,reason8_priority,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,source_order_first_valid,both_zero,150,0,150
2022,AR,lowest,ehb_named_states_only,whole_county_00000_only,both_zero,150,0,150
2022,AR,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,county_any_zip_turnover,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,current_repo_rule,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,exclude_level4_5,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,lowest_crosswalk_level,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,no_same_issuer_priority,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,reason8_priority,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,source_order_first_valid,turnover,150,150,0
2022,AR,second_lowest,current_ehb_all_states,whole_county_00000_only,turnover,150,150,0
2022,AR,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,turnover,150,150,0
